
============================================================
Step 0: Entering Phase 1: Hard only (rating 21+)
Training pool: 281294 puzzles
============================================================

Step     0 | Loss: 17.3257 Acc: 11.19% | 0: 0/5000 | 1-2: 0/5000 | 3-10: 0/5000 | 11-50: 0/5000 | 51+: 0/5000 | Total: 0/25000 (0.0%)
Step   100 | Loss: 2.5713 Acc: 10.93%
Step   200 | Loss: 2.3492 Acc: 10.91%
Step   300 | Loss: 2.2901 Acc: 11.16%
Step   400 | Loss: 2.2463 Acc: 11.28%
Step   500 | Loss: 2.1775 Acc: 15.23%
Step   600 | Loss: 1.6717 Acc: 29.78%
Step   700 | Loss: 1.3879 Acc: 37.92%
Step   800 | Loss: 1.3139 Acc: 40.99%
Step   900 | Loss: 1.2811 Acc: 42.40%
Step  1000 | Loss: 1.2517 Acc: 44.07%
Step  1100 | Loss: 1.2361 Acc: 44.48%
Step  1200 | Loss: 1.2292 Acc: 44.84%
Step  1300 | Loss: 1.2186 Acc: 45.44%
Step  1400 | Loss: 1.2147 Acc: 45.53%
Step  1500 | Loss: 1.2053 Acc: 45.99%
Step  1600 | Loss: 1.1980 Acc: 46.52%
Step  1700 | Loss: 1.1967 Acc: 46.66%
Step  1800 | Loss: 1.1889 Acc: 46.81%
Step  1900 | Loss: 1.1915 Acc: 46.55%
Step  2000 | Loss: 1.1853 Acc: 46.77%
Step  2100 | Loss: 1.1803 Acc: 46.91%
Step  2200 | Loss: 1.1744 Acc: 47.52%
Step  2300 | Loss: 1.1850 Acc: 46.74%
Step  2400 | Loss: 1.1771 Acc: 47.37%
Step  2500 | Loss: 1.1685 Acc: 48.40%
Step  2600 | Loss: 1.1594 Acc: 48.73%
Step  2700 | Loss: 1.1487 Acc: 49.40%
Step  2800 | Loss: 1.1461 Acc: 49.62%
Step  2900 | Loss: 1.1359 Acc: 50.00%
Step  3000 | Loss: 1.1395 Acc: 49.82%
Step  3100 | Loss: 1.1256 Acc: 51.39%
Step  3200 | Loss: 1.1177 Acc: 51.96%
Step  3300 | Loss: 1.1041 Acc: 52.92%
Step  3400 | Loss: 1.1120 Acc: 52.14%
Step  3500 | Loss: 1.0914 Acc: 54.26%
Step  3600 | Loss: 1.0858 Acc: 54.33%
Step  3700 | Loss: 1.0704 Acc: 55.91%
Step  3800 | Loss: 1.0630 Acc: 56.53%
Step  3900 | Loss: 1.0469 Acc: 57.97%
Step  4000 | Loss: 1.0483 Acc: 57.67%
Step  4100 | Loss: 1.0318 Acc: 59.20%
Step  4200 | Loss: 1.0050 Acc: 61.67%
Step  4300 | Loss: 1.0094 Acc: 60.41%
Step  4400 | Loss: 0.9951 Acc: 61.43%
Step  4500 | Loss: 0.9839 Acc: 62.50%
Step  4600 | Loss: 0.9841 Acc: 62.35%
Step  4700 | Loss: 0.9800 Acc: 62.89%
Step  4800 | Loss: 0.9759 Acc: 63.48%
Step  4900 | Loss: 0.9653 Acc: 63.04%
Step  5000 | Loss: 0.9584 Acc: 64.18% | 0: 1335/5000 | 1-2: 151/5000 | 3-10: 357/5000 | 11-50: 546/5000 | 51+: 708/5000 | Total: 3097/25000 (12.4%)
Step  5100 | Loss: 0.9439 Acc: 65.79%
Step  5200 | Loss: 0.9479 Acc: 65.78%
Step  5300 | Loss: 0.9341 Acc: 66.96%
Step  5400 | Loss: 0.9363 Acc: 65.93%
Step  5500 | Loss: 0.9334 Acc: 66.88%
Step  5600 | Loss: 0.9225 Acc: 66.80%
Step  5700 | Loss: 0.9137 Acc: 67.59%
Step  5800 | Loss: 0.8885 Acc: 69.30%
Step  5900 | Loss: 0.9162 Acc: 68.31%
Step  6000 | Loss: 0.9020 Acc: 68.96%
Step  6100 | Loss: 0.8952 Acc: 69.48%
Step  6200 | Loss: 0.9072 Acc: 69.42%
Step  6300 | Loss: 0.9107 Acc: 68.91%
Step  6400 | Loss: 0.8848 Acc: 70.11%
Step  6500 | Loss: 0.9006 Acc: 69.73%
Step  6600 | Loss: 0.8631 Acc: 70.76%
Step  6700 | Loss: 0.8473 Acc: 72.18%
Step  6800 | Loss: 0.8772 Acc: 70.68%
Step  6900 | Loss: 0.8527 Acc: 72.26%
Step  7000 | Loss: 0.8501 Acc: 71.53%
Step  7100 | Loss: 0.8635 Acc: 72.39%
Step  7200 | Loss: 0.8551 Acc: 71.86%
Step  7300 | Loss: 0.8573 Acc: 72.09%
Step  7400 | Loss: 0.8573 Acc: 72.28%
Step  7500 | Loss: 0.8564 Acc: 72.15%
Step  7600 | Loss: 0.8437 Acc: 72.87%
Step  7700 | Loss: 0.8401 Acc: 73.42%
Step  7800 | Loss: 0.8236 Acc: 74.40%
Step  7900 | Loss: 0.8369 Acc: 72.63%
Step  8000 | Loss: 0.8099 Acc: 75.26%
Step  8100 | Loss: 0.8097 Acc: 75.28%
Step  8200 | Loss: 0.8172 Acc: 73.84%
Step  8300 | Loss: 0.8019 Acc: 74.97%
Step  8400 | Loss: 0.8317 Acc: 74.12%
Step  8500 | Loss: 0.8088 Acc: 75.42%
Step  8600 | Loss: 0.8274 Acc: 73.58%
Step  8700 | Loss: 0.7841 Acc: 76.22%
Step  8800 | Loss: 0.7733 Acc: 77.28%
Step  8900 | Loss: 0.8019 Acc: 74.98%
Step  9000 | Loss: 0.7904 Acc: 76.60%
Step  9100 | Loss: 0.8041 Acc: 75.71%
Step  9200 | Loss: 0.7866 Acc: 76.60%
Step  9300 | Loss: 0.8111 Acc: 75.06%
Step  9400 | Loss: 0.8102 Acc: 75.40%
Step  9500 | Loss: 0.7687 Acc: 77.33%
Step  9600 | Loss: 0.7613 Acc: 78.64%
Step  9700 | Loss: 0.7928 Acc: 76.42%
Step  9800 | Loss: 0.7853 Acc: 76.39%
Step  9900 | Loss: 0.7956 Acc: 77.61%
Step 10000 | Loss: 0.7294 Acc: 80.52% | 0: 4215/5000 | 1-2: 2614/5000 | 3-10: 1618/5000 | 11-50: 2081/5000 | 51+: 2630/5000 | Total: 13158/25000 (52.6%)
Step 10100 | Loss: 0.7511 Acc: 78.65%
Step 10200 | Loss: 0.7779 Acc: 78.06%
Step 10300 | Loss: 0.7603 Acc: 78.93%
Step 10400 | Loss: 0.7627 Acc: 78.73%
Step 10500 | Loss: 0.7673 Acc: 78.17%
Step 10600 | Loss: 0.7747 Acc: 77.79%
Step 10700 | Loss: 0.7616 Acc: 78.69%
Step 10800 | Loss: 0.7834 Acc: 77.87%
Step 10900 | Loss: 0.7368 Acc: 79.27%
Step 11000 | Loss: 0.7866 Acc: 77.01%
Step 11100 | Loss: 0.7503 Acc: 79.61%
Step 11200 | Loss: 0.7713 Acc: 77.94%
Step 11300 | Loss: 0.7524 Acc: 78.57%
Step 11400 | Loss: 0.7861 Acc: 76.68%
Step 11500 | Loss: 0.7668 Acc: 78.35%
Step 11600 | Loss: 0.7742 Acc: 77.73%
Step 11700 | Loss: 0.7561 Acc: 78.74%
Step 11800 | Loss: 0.7696 Acc: 78.08%
Step 11900 | Loss: 0.7504 Acc: 79.26%
Step 12000 | Loss: 0.7525 Acc: 79.12%
Step 12100 | Loss: 0.7214 Acc: 80.30%
Step 12200 | Loss: 0.7484 Acc: 79.20%
Step 12300 | Loss: 0.7543 Acc: 79.15%
Step 12400 | Loss: 0.7415 Acc: 79.38%
Step 12500 | Loss: 0.7506 Acc: 79.39%
