
============================================================
Step 0: Entering Phase 1: Hard only (3.0+)
Training pool: 321326 puzzles
============================================================

Step     0 | Loss: 2.8531 Acc: 11.08% | 0.0: 0/500 | 1.x: 0/500 | 2.x: 0/500 | 3.x: 0/500 | 4.x+: 0/500 | Total: 0/2500
Step   100 | Loss: 2.2099 Acc: 10.88%
Step   200 | Loss: 2.2034 Acc: 11.45%
Step   300 | Loss: 1.9480 Acc: 20.31%
Step   400 | Loss: 1.4361 Acc: 37.09%
Step   500 | Loss: 1.2415 Acc: 47.21%
Step   600 | Loss: 1.1839 Acc: 50.78%
Step   700 | Loss: 1.1439 Acc: 52.83%
Step   800 | Loss: 1.1301 Acc: 53.31%
Step   900 | Loss: 1.1016 Acc: 54.40%
Step  1000 | Loss: 1.0879 Acc: 55.34%
Step  1100 | Loss: 1.0631 Acc: 56.03%
Step  1200 | Loss: 1.0791 Acc: 55.71%
Step  1300 | Loss: 1.0571 Acc: 57.64%
Step  1400 | Loss: 1.0610 Acc: 56.47%
Step  1500 | Loss: 1.0525 Acc: 56.56%
Step  1600 | Loss: 1.0372 Acc: 57.07%
Step  1700 | Loss: 1.0260 Acc: 57.45%
Step  1800 | Loss: 1.0303 Acc: 57.98%
Step  1900 | Loss: 1.0369 Acc: 56.61%
Step  2000 | Loss: 1.0313 Acc: 57.94%
Step  2100 | Loss: 1.0061 Acc: 58.32%
Step  2200 | Loss: 1.0176 Acc: 58.10%
Step  2300 | Loss: 0.9951 Acc: 59.10%
Step  2400 | Loss: 1.0140 Acc: 57.52%
Step  2500 | Loss: 1.0109 Acc: 57.64%
Step  2600 | Loss: 1.0040 Acc: 58.23%
Step  2700 | Loss: 0.9885 Acc: 59.64%
Step  2800 | Loss: 0.9850 Acc: 59.06%
Step  2900 | Loss: 0.9970 Acc: 59.35%
Step  3000 | Loss: 0.9833 Acc: 59.44%
Step  3100 | Loss: 0.9798 Acc: 60.81%
Step  3200 | Loss: 0.9653 Acc: 60.68%
Step  3300 | Loss: 0.9790 Acc: 60.04%
Step  3400 | Loss: 0.9664 Acc: 61.07%
Step  3500 | Loss: 0.9963 Acc: 59.79%
Step  3600 | Loss: 0.9577 Acc: 61.11%
Step  3700 | Loss: 0.9433 Acc: 62.15%
Step  3800 | Loss: 0.9410 Acc: 62.39%
Step  3900 | Loss: 0.9677 Acc: 61.73%
Step  4000 | Loss: 0.9750 Acc: 59.98%
Step  4100 | Loss: 0.9644 Acc: 59.58%
Step  4200 | Loss: 0.9624 Acc: 61.36%
Step  4300 | Loss: 0.9558 Acc: 60.67%
Step  4400 | Loss: 0.9374 Acc: 62.29%
Step  4500 | Loss: 0.9604 Acc: 60.14%
Step  4600 | Loss: 0.9395 Acc: 63.02%
Step  4700 | Loss: 0.9417 Acc: 62.64%
Step  4800 | Loss: 0.9214 Acc: 63.00%
Step  4900 | Loss: 0.9205 Acc: 64.16%
Step  5000 | Loss: 0.9511 Acc: 61.48% | 0.0: 113/500 | 1.x: 52/500 | 2.x: 33/500 | 3.x: 15/500 | 4.x+: 5/500 | Total: 218/2500
Step  5100 | Loss: 0.9314 Acc: 62.22%
Step  5200 | Loss: 0.9265 Acc: 62.53%
