
============================================================
Step 0: Entering Phase 1: Hard only (3.0+)
Training pool: 321326 puzzles
============================================================

Step     0 | Loss: 3.3366 Acc: 11.37% | 0.0: 0/500 | 1.x: 0/500 | 2.x: 0/500 | 3.x: 0/500 | 4.x+: 0/500 | Total: 0/2500
Step   100 | Loss: 2.2177 Acc: 10.72%
Step   200 | Loss: 2.2075 Acc: 11.34%
Step   300 | Loss: 1.7854 Acc: 25.82%
Step   400 | Loss: 1.2404 Acc: 47.64%
Step   500 | Loss: 1.1458 Acc: 52.09%
Step   600 | Loss: 1.1207 Acc: 53.58%
Step   700 | Loss: 1.0762 Acc: 55.37%
Step   800 | Loss: 1.0607 Acc: 55.86%
Step   900 | Loss: 1.0424 Acc: 57.48%
Step  1000 | Loss: 1.0291 Acc: 57.47%
Step  1100 | Loss: 1.0260 Acc: 57.02%
Step  1200 | Loss: 1.0130 Acc: 58.15%
Step  1300 | Loss: 1.0098 Acc: 58.19%
Step  1400 | Loss: 0.9737 Acc: 60.41%
Step  1500 | Loss: 0.9933 Acc: 59.46%
Step  1600 | Loss: 0.9852 Acc: 59.94%
Step  1700 | Loss: 0.9795 Acc: 60.12%
Step  1800 | Loss: 0.9706 Acc: 61.17%
Step  1900 | Loss: 0.9644 Acc: 61.14%
Step  2000 | Loss: 0.9656 Acc: 62.78%
Step  2100 | Loss: 0.9480 Acc: 61.77%
Step  2200 | Loss: 0.9458 Acc: 62.24%
Step  2300 | Loss: 0.9642 Acc: 60.74%
Step  2400 | Loss: 0.9404 Acc: 62.66%
Step  2500 | Loss: 0.9447 Acc: 61.65%
Step  2600 | Loss: 0.9395 Acc: 63.78%
Step  2700 | Loss: 0.9102 Acc: 64.21%
Step  2800 | Loss: 0.9397 Acc: 62.27%
Step  2900 | Loss: 0.9153 Acc: 63.36%
Step  3000 | Loss: 0.9103 Acc: 64.15%
Step  3100 | Loss: 0.9001 Acc: 65.91%
Step  3200 | Loss: 0.9056 Acc: 64.60%
Step  3300 | Loss: 0.9151 Acc: 64.13%
Step  3400 | Loss: 0.9018 Acc: 65.20%
Step  3500 | Loss: 0.9047 Acc: 64.61%
Step  3600 | Loss: 0.8905 Acc: 65.64%
Step  3700 | Loss: 0.8934 Acc: 66.20%
Step  3800 | Loss: 0.9042 Acc: 64.27%
Step  3900 | Loss: 0.9101 Acc: 63.64%
Step  4000 | Loss: 0.9045 Acc: 65.65%
Step  4100 | Loss: 0.8701 Acc: 67.02%
Step  4200 | Loss: 0.8899 Acc: 66.27%
Step  4300 | Loss: 0.8963 Acc: 65.42%
Step  4400 | Loss: 0.8706 Acc: 68.26%
Step  4500 | Loss: 0.8715 Acc: 65.79%
Step  4600 | Loss: 0.8562 Acc: 67.69%
Step  4700 | Loss: 0.8647 Acc: 67.50%
Step  4800 | Loss: 0.8706 Acc: 65.88%
Step  4900 | Loss: 0.8684 Acc: 68.22%
Step  5000 | Loss: 0.8533 Acc: 68.07% | 0.0: 183/500 | 1.x: 99/500 | 2.x: 46/500 | 3.x: 31/500 | 4.x+: 12/500 | Total: 371/2500
Step  5100 | Loss: 0.8753 Acc: 66.86%
Step  5200 | Loss: 0.8626 Acc: 67.29%
Step  5300 | Loss: 0.8720 Acc: 66.47%
Step  5400 | Loss: 0.8611 Acc: 68.34%
Step  5500 | Loss: 0.8491 Acc: 68.26%
Step  5600 | Loss: 0.8580 Acc: 69.48%
Step  5700 | Loss: 0.8522 Acc: 68.74%
Step  5800 | Loss: 0.8621 Acc: 68.00%
Step  5900 | Loss: 0.8541 Acc: 69.39%
Step  6000 | Loss: 0.8378 Acc: 70.08%
Step  6100 | Loss: 0.8594 Acc: 67.99%
Step  6200 | Loss: 0.8506 Acc: 68.22%
Step  6300 | Loss: 0.8489 Acc: 68.76%
Step  6400 | Loss: 0.8480 Acc: 68.97%
Step  6500 | Loss: 0.8471 Acc: 68.69%
Step  6600 | Loss: 0.8340 Acc: 69.42%
Step  6700 | Loss: 0.8209 Acc: 71.09%
Step  6800 | Loss: 0.8131 Acc: 71.59%
Step  6900 | Loss: 0.8336 Acc: 71.85%
Step  7000 | Loss: 0.8565 Acc: 69.18%
Step  7100 | Loss: 0.8351 Acc: 70.05%
Step  7200 | Loss: 0.8254 Acc: 71.34%
Step  7300 | Loss: 0.8406 Acc: 68.96%
Step  7400 | Loss: 0.8561 Acc: 68.04%
Step  7500 | Loss: 0.8191 Acc: 72.11%
Step  7600 | Loss: 0.8279 Acc: 70.95%
Step  7700 | Loss: 0.8254 Acc: 71.05%
Step  7800 | Loss: 0.8584 Acc: 68.32%
Step  7900 | Loss: 0.8463 Acc: 69.77%
Step  8000 | Loss: 0.8500 Acc: 70.27%
Step  8100 | Loss: 0.8461 Acc: 69.56%
Step  8200 | Loss: 0.8364 Acc: 71.87%
Step  8300 | Loss: 0.8144 Acc: 71.21%
Step  8400 | Loss: 0.8116 Acc: 71.67%
Step  8500 | Loss: 0.7920 Acc: 73.49%
Step  8600 | Loss: 0.8001 Acc: 72.79%
Step  8700 | Loss: 0.8067 Acc: 71.86%
Step  8800 | Loss: 0.8018 Acc: 72.15%
Step  8900 | Loss: 0.8144 Acc: 72.73%
Step  9000 | Loss: 0.7992 Acc: 72.31%
Step  9100 | Loss: 0.8267 Acc: 70.52%
Step  9200 | Loss: 0.8262 Acc: 71.38%
Step  9300 | Loss: 0.8117 Acc: 71.95%
Step  9400 | Loss: 0.8247 Acc: 71.35%
Step  9500 | Loss: 0.7892 Acc: 73.90%
Step  9600 | Loss: 0.7796 Acc: 74.17%
Step  9700 | Loss: 0.8037 Acc: 73.72%
Step  9800 | Loss: 0.7931 Acc: 73.70%
Step  9900 | Loss: 0.8154 Acc: 70.69%
Step 10000 | Loss: 0.7865 Acc: 74.48% | 0.0: 418/500 | 1.x: 301/500 | 2.x: 225/500 | 3.x: 174/500 | 4.x+: 133/500 | Total: 1251/2500
Step 10100 | Loss: 0.8054 Acc: 72.65%
Step 10200 | Loss: 0.8200 Acc: 71.00%
