Step     0 | Loss: 2.9063 Acc: 11.49% | 0.0: 0/500 | 1.x: 0/500 | 2.x: 0/500 | 3.x: 0/500 | 4.x+: 0/500 | Total: 0/2500
Step   100 | Loss: 2.2088 Acc: 11.04%
Step   200 | Loss: 2.1995 Acc: 11.82%
Step   300 | Loss: 1.9148 Acc: 22.21%
Step   400 | Loss: 1.3753 Acc: 39.84%
Step   500 | Loss: 1.1723 Acc: 53.27%
Step   600 | Loss: 1.1048 Acc: 56.97%
Step   700 | Loss: 1.0523 Acc: 59.31%
Step   800 | Loss: 1.0410 Acc: 60.39%
Step   900 | Loss: 1.0057 Acc: 63.03%
Step  1000 | Loss: 0.9692 Acc: 64.37%
Step  1100 | Loss: 0.9625 Acc: 65.45%
Step  1200 | Loss: 0.9383 Acc: 66.09%
Step  1300 | Loss: 0.9408 Acc: 66.89%
Step  1400 | Loss: 0.9171 Acc: 66.81%
Step  1500 | Loss: 0.8897 Acc: 68.73%
Step  1600 | Loss: 0.9076 Acc: 66.42%
Step  1700 | Loss: 0.9009 Acc: 67.38%
Step  1800 | Loss: 0.9024 Acc: 68.15%
Step  1900 | Loss: 0.8871 Acc: 68.89%
Step  2000 | Loss: 0.8538 Acc: 70.87%
Step  2100 | Loss: 0.8742 Acc: 68.24%
Step  2200 | Loss: 0.8647 Acc: 69.26%
Step  2300 | Loss: 0.8630 Acc: 70.68%
Step  2400 | Loss: 0.8335 Acc: 71.10%
Step  2500 | Loss: 0.8411 Acc: 70.66%
Step  2600 | Loss: 0.8447 Acc: 70.67%
Step  2700 | Loss: 0.8466 Acc: 70.93%
Step  2800 | Loss: 0.8178 Acc: 71.95%
Step  2900 | Loss: 0.8421 Acc: 71.38%
Step  3000 | Loss: 0.8312 Acc: 72.55%
Step  3100 | Loss: 0.8323 Acc: 72.27%
Step  3200 | Loss: 0.7915 Acc: 73.84%
Step  3300 | Loss: 0.8046 Acc: 72.62%
Step  3400 | Loss: 0.7798 Acc: 76.09%
Step  3500 | Loss: 0.8047 Acc: 73.48%
Step  3600 | Loss: 0.7739 Acc: 77.28%
Step  3700 | Loss: 0.7915 Acc: 75.10%
Step  3800 | Loss: 0.8049 Acc: 73.19%
Step  3900 | Loss: 0.7899 Acc: 75.23%
Step  4000 | Loss: 0.7655 Acc: 75.90%
Step  4100 | Loss: 0.7738 Acc: 74.48%
Step  4200 | Loss: 0.7870 Acc: 76.32%
