
============================================================
Step 0: Entering Phase 1: Easy (0.0-1.0)
Training pool: 1293581 puzzles
============================================================

Step     0 | Loss: 2.8646 Acc: 11.18% | 0.0: 0/500 | 1.x: 0/500 | 2.x: 0/500 | 3.x: 0/500 | 4.x+: 0/500 | Total: 0/2500
Step   100 | Loss: 2.2095 Acc: 10.84%
Step   200 | Loss: 2.2019 Acc: 11.48%
Step   300 | Loss: 1.9770 Acc: 20.90%
Step   400 | Loss: 1.3937 Acc: 38.87%
Step   500 | Loss: 1.1644 Acc: 55.30%
Step   600 | Loss: 1.0881 Acc: 59.67%
Step   700 | Loss: 1.0202 Acc: 63.40%
Step   800 | Loss: 1.0016 Acc: 64.37%
Step   900 | Loss: 0.9934 Acc: 66.30%
Step  1000 | Loss: 0.9485 Acc: 66.93%
Step  1100 | Loss: 0.9028 Acc: 68.65%
Step  1200 | Loss: 0.9123 Acc: 68.02%
Step  1300 | Loss: 0.8789 Acc: 71.67%
Step  1400 | Loss: 0.8854 Acc: 70.73%
Step  1500 | Loss: 0.8516 Acc: 73.03%
Step  1600 | Loss: 0.8412 Acc: 71.26%
Step  1700 | Loss: 0.8407 Acc: 73.78%
Step  1800 | Loss: 0.8178 Acc: 73.51%
Step  1900 | Loss: 0.8060 Acc: 74.09%
Step  2000 | Loss: 0.8050 Acc: 75.22%
Step  2100 | Loss: 0.7816 Acc: 75.44%
Step  2200 | Loss: 0.7744 Acc: 77.15%
Step  2300 | Loss: 0.7652 Acc: 79.21%
Step  2400 | Loss: 0.7566 Acc: 78.46%
Step  2500 | Loss: 0.7439 Acc: 78.33%
Step  2600 | Loss: 0.7536 Acc: 78.69%
Step  2700 | Loss: 0.7489 Acc: 78.86%
Step  2800 | Loss: 0.7180 Acc: 80.71%
Step  2900 | Loss: 0.6881 Acc: 83.21%
Step  3000 | Loss: 0.7500 Acc: 80.11%
Step  3100 | Loss: 0.6965 Acc: 82.37%
Step  3200 | Loss: 0.7030 Acc: 83.03%
Step  3300 | Loss: 0.7079 Acc: 80.92%
Step  3400 | Loss: 0.7032 Acc: 81.98%
Step  3500 | Loss: 0.6821 Acc: 84.27%
Step  3600 | Loss: 0.6979 Acc: 82.24%
Step  3700 | Loss: 0.6859 Acc: 84.14%
Step  3800 | Loss: 0.6795 Acc: 83.46%
Step  3900 | Loss: 0.6691 Acc: 84.62%
