
============================================================
Step 0: Entering Phase 1: Hard only (3.0+)
Training pool: 321326 puzzles
============================================================

Step     0 | Loss: 2.8746 Acc: 11.46% | 0.0: 0/500 | 1.x: 0/500 | 2.x: 0/500 | 3.x: 0/500 | 4.x+: 0/500 | Total: 0/2500
Step   100 | Loss: 2.2090 Acc: 10.81%
Step   200 | Loss: 2.1973 Acc: 12.02%
Step   300 | Loss: 1.9028 Acc: 20.26%
Step   400 | Loss: 1.4627 Acc: 34.73%
Step   500 | Loss: 1.2190 Acc: 50.00%
Step   600 | Loss: 1.1694 Acc: 52.56%
Step   700 | Loss: 1.1242 Acc: 55.44%
Step   800 | Loss: 1.1059 Acc: 55.52%
Step   900 | Loss: 1.0904 Acc: 55.74%
Step  1000 | Loss: 1.0716 Acc: 56.88%
Step  1100 | Loss: 1.0548 Acc: 57.90%
Step  1200 | Loss: 1.0463 Acc: 58.83%
Step  1300 | Loss: 1.0361 Acc: 58.62%
Step  1400 | Loss: 1.0189 Acc: 59.53%
Step  1500 | Loss: 1.0218 Acc: 58.85%
Step  1600 | Loss: 1.0084 Acc: 59.22%
Step  1700 | Loss: 1.0024 Acc: 60.92%
Step  1800 | Loss: 1.0173 Acc: 59.11%
Step  1900 | Loss: 0.9875 Acc: 60.69%
Step  2000 | Loss: 0.9904 Acc: 60.88%
Step  2100 | Loss: 0.9725 Acc: 61.59%
Step  2200 | Loss: 0.9672 Acc: 62.44%
Step  2300 | Loss: 0.9648 Acc: 61.54%
Step  2400 | Loss: 0.9529 Acc: 62.31%
Step  2500 | Loss: 0.9572 Acc: 62.00%
Step  2600 | Loss: 0.9553 Acc: 63.04%
Step  2700 | Loss: 0.9491 Acc: 63.23%
Step  2800 | Loss: 0.9510 Acc: 63.27%
Step  2900 | Loss: 0.9355 Acc: 63.62%
Step  3000 | Loss: 0.9322 Acc: 63.59%
Step  3100 | Loss: 0.9570 Acc: 62.74%
Step  3200 | Loss: 0.9318 Acc: 63.86%
Step  3300 | Loss: 0.9352 Acc: 63.18%
Step  3400 | Loss: 0.9370 Acc: 62.86%
Step  3500 | Loss: 0.9199 Acc: 65.55%
Step  3600 | Loss: 0.9285 Acc: 63.97%
Step  3700 | Loss: 0.9186 Acc: 64.83%
Step  3800 | Loss: 0.9389 Acc: 63.51%
Step  3900 | Loss: 0.9080 Acc: 65.33%
Step  4000 | Loss: 0.9102 Acc: 64.93%
Step  4100 | Loss: 0.9067 Acc: 66.17%
Step  4200 | Loss: 0.9094 Acc: 65.58%
Step  4300 | Loss: 0.9105 Acc: 64.55%
Step  4400 | Loss: 0.9103 Acc: 65.19%
Step  4500 | Loss: 0.8960 Acc: 65.49%
Step  4600 | Loss: 0.8977 Acc: 65.30%
Step  4700 | Loss: 0.9070 Acc: 65.46%
Step  4800 | Loss: 0.9027 Acc: 65.57%
Step  4900 | Loss: 0.8954 Acc: 66.23%
Step  5000 | Loss: 0.8810 Acc: 67.56% | 0.0: 134/500 | 1.x: 53/500 | 2.x: 19/500 | 3.x: 11/500 | 4.x+: 5/500 | Total: 222/2500
Step  5100 | Loss: 0.8879 Acc: 67.08%
Step  5200 | Loss: 0.8721 Acc: 68.25%
Step  5300 | Loss: 0.8697 Acc: 68.10%
Step  5400 | Loss: 0.8648 Acc: 68.58%
Step  5500 | Loss: 0.8827 Acc: 67.94%
Step  5600 | Loss: 0.8621 Acc: 67.97%
Step  5700 | Loss: 0.8643 Acc: 68.23%
Step  5800 | Loss: 0.8484 Acc: 68.50%
Step  5900 | Loss: 0.8581 Acc: 69.81%
Step  6000 | Loss: 0.8385 Acc: 70.44%
Step  6100 | Loss: 0.8465 Acc: 69.15%
Step  6200 | Loss: 0.8328 Acc: 71.51%
Step  6300 | Loss: 0.8569 Acc: 69.84%
Step  6400 | Loss: 0.8204 Acc: 72.64%
Step  6500 | Loss: 0.8372 Acc: 70.15%
Step  6600 | Loss: 0.8339 Acc: 72.07%
Step  6700 | Loss: 0.8429 Acc: 70.82%
Step  6800 | Loss: 0.8447 Acc: 70.74%
Step  6900 | Loss: 0.8295 Acc: 71.26%
Step  7000 | Loss: 0.8314 Acc: 71.22%
Step  7100 | Loss: 0.8230 Acc: 72.93%
Step  7200 | Loss: 0.8392 Acc: 71.65%
Step  7300 | Loss: 0.8229 Acc: 71.94%
Step  7400 | Loss: 0.8448 Acc: 71.40%
Step  7500 | Loss: 0.7980 Acc: 74.13%
Step  7600 | Loss: 0.8148 Acc: 72.98%
Step  7700 | Loss: 0.8157 Acc: 72.77%
Step  7800 | Loss: 0.8101 Acc: 72.84%
Step  7900 | Loss: 0.8275 Acc: 72.95%
Step  8000 | Loss: 0.8140 Acc: 71.95%
Step  8100 | Loss: 0.8214 Acc: 71.59%
Step  8200 | Loss: 0.8223 Acc: 72.67%
Step  8300 | Loss: 0.8378 Acc: 71.80%
Step  8400 | Loss: 0.8059 Acc: 73.96%
Step  8500 | Loss: 0.8029 Acc: 73.67%
Step  8600 | Loss: 0.8152 Acc: 73.36%
Step  8700 | Loss: 0.7783 Acc: 75.02%
Step  8800 | Loss: 0.8069 Acc: 73.34%
Step  8900 | Loss: 0.8061 Acc: 72.67%
Step  9000 | Loss: 0.7762 Acc: 76.07%
Step  9100 | Loss: 0.7948 Acc: 74.04%
Step  9200 | Loss: 0.8092 Acc: 73.18%
Step  9300 | Loss: 0.8110 Acc: 73.93%
Step  9400 | Loss: 0.7797 Acc: 75.94%
Step  9500 | Loss: 0.7832 Acc: 75.54%
Step  9600 | Loss: 0.7850 Acc: 75.56%
Step  9700 | Loss: 0.7721 Acc: 76.92%
Step  9800 | Loss: 0.7840 Acc: 75.20%
Step  9900 | Loss: 0.8048 Acc: 73.48%
Step 10000 | Loss: 0.7902 Acc: 74.70% | 0.0: 436/500 | 1.x: 315/500 | 2.x: 247/500 | 3.x: 172/500 | 4.x+: 121/500 | Total: 1291/2500
Step 10100 | Loss: 0.7773 Acc: 75.57%
Step 10200 | Loss: 0.7865 Acc: 75.58%
Step 10300 | Loss: 0.7783 Acc: 76.02%
Step 10400 | Loss: 0.7820 Acc: 74.70%
Step 10500 | Loss: 0.8193 Acc: 73.59%
Step 10600 | Loss: 0.7905 Acc: 75.19%
Step 10700 | Loss: 0.7964 Acc: 75.53%
Step 10800 | Loss: 0.7967 Acc: 73.11%
Step 10900 | Loss: 0.7722 Acc: 75.75%
Step 11000 | Loss: 0.7721 Acc: 75.43%
Step 11100 | Loss: 0.7939 Acc: 74.86%
Step 11200 | Loss: 0.8041 Acc: 74.75%
Step 11300 | Loss: 0.7772 Acc: 76.50%
Step 11400 | Loss: 0.7913 Acc: 73.96%
Step 11500 | Loss: 0.7747 Acc: 75.68%
Step 11600 | Loss: 0.7833 Acc: 75.81%
Step 11700 | Loss: 0.7733 Acc: 76.93%
Step 11800 | Loss: 0.7684 Acc: 76.00%
Step 11900 | Loss: 0.7715 Acc: 77.11%
Step 12000 | Loss: 0.7768 Acc: 76.40%
Step 12100 | Loss: 0.7754 Acc: 76.16%
Step 12200 | Loss: 0.7653 Acc: 76.79%
Step 12300 | Loss: 0.7787 Acc: 76.28%
Step 12400 | Loss: 0.7805 Acc: 76.96%
Step 12500 | Loss: 0.7711 Acc: 76.09%
Step 12600 | Loss: 0.7693 Acc: 76.58%
Step 12700 | Loss: 0.7717 Acc: 76.16%
Step 12800 | Loss: 0.7549 Acc: 77.61%
Step 12900 | Loss: 0.7589 Acc: 76.91%
Step 13000 | Loss: 0.7794 Acc: 76.04%
Step 13100 | Loss: 0.7843 Acc: 76.49%
Step 13200 | Loss: 0.7434 Acc: 78.22%
Step 13300 | Loss: 0.7656 Acc: 77.60%
Step 13400 | Loss: 0.7589 Acc: 76.27%
Step 13500 | Loss: 0.7734 Acc: 76.42%
Step 13600 | Loss: 0.7554 Acc: 77.17%
Step 13700 | Loss: 0.7717 Acc: 76.87%
Step 13800 | Loss: 0.7635 Acc: 77.20%
Step 13900 | Loss: 0.7537 Acc: 78.14%
Step 14000 | Loss: 0.7667 Acc: 76.57%
Step 14100 | Loss: 0.7616 Acc: 77.30%
Step 14200 | Loss: 0.7372 Acc: 79.61%
Step 14300 | Loss: 0.7774 Acc: 75.17%
Step 14400 | Loss: 0.7736 Acc: 76.56%
Step 14500 | Loss: 0.7416 Acc: 78.17%
Step 14600 | Loss: 0.7540 Acc: 77.25%
Step 14700 | Loss: 0.7623 Acc: 77.30%
Step 14800 | Loss: 0.7629 Acc: 78.14%
Step 14900 | Loss: 0.7505 Acc: 78.52%
Step 15000 | Loss: 0.7616 Acc: 77.46% | 0.0: 459/500 | 1.x: 357/500 | 2.x: 294/500 | 3.x: 236/500 | 4.x+: 215/500 | Total: 1561/2500
Step 15100 | Loss: 0.7576 Acc: 77.34%
Step 15200 | Loss: 0.7539 Acc: 77.56%
Step 15300 | Loss: 0.7644 Acc: 77.97%
Step 15400 | Loss: 0.7507 Acc: 79.14%
Step 15500 | Loss: 0.7370 Acc: 78.63%
Step 15600 | Loss: 0.7460 Acc: 78.61%
Step 15700 | Loss: 0.7485 Acc: 79.19%
Step 15800 | Loss: 0.7568 Acc: 78.10%
Step 15900 | Loss: 0.7639 Acc: 77.81%
Step 16000 | Loss: 0.7408 Acc: 79.16%
Step 16100 | Loss: 0.7532 Acc: 77.36%
Step 16200 | Loss: 0.7504 Acc: 77.71%
Step 16300 | Loss: 0.7511 Acc: 78.03%
Step 16400 | Loss: 0.7567 Acc: 78.76%
Step 16500 | Loss: 0.7317 Acc: 79.77%
Step 16600 | Loss: 0.7522 Acc: 78.66%
Step 16700 | Loss: 0.7442 Acc: 79.36%
Step 16800 | Loss: 0.7367 Acc: 78.69%
Step 16900 | Loss: 0.7481 Acc: 79.01%
Step 17000 | Loss: 0.7504 Acc: 78.30%
Step 17100 | Loss: 0.7462 Acc: 78.70%
Step 17200 | Loss: 0.7402 Acc: 78.37%
Step 17300 | Loss: 0.7550 Acc: 77.71%
Step 17400 | Loss: 0.7339 Acc: 79.42%
Step 17500 | Loss: 0.7403 Acc: 79.27%
Step 17600 | Loss: 0.7310 Acc: 80.20%
Step 17700 | Loss: 0.7416 Acc: 79.12%
Step 17800 | Loss: 0.7180 Acc: 80.18%
Step 17900 | Loss: 0.7305 Acc: 78.79%
Step 18000 | Loss: 0.7396 Acc: 78.90%
Step 18100 | Loss: 0.7164 Acc: 81.00%
Step 18200 | Loss: 0.7445 Acc: 78.45%
Step 18300 | Loss: 0.7249 Acc: 80.93%
Step 18400 | Loss: 0.7373 Acc: 79.01%
Step 18500 | Loss: 0.7422 Acc: 78.73%
Step 18600 | Loss: 0.7477 Acc: 78.94%
Step 18700 | Loss: 0.7384 Acc: 79.41%
Step 18800 | Loss: 0.7331 Acc: 79.64%
Step 18900 | Loss: 0.7267 Acc: 80.52%
Step 19000 | Loss: 0.7186 Acc: 80.37%
Step 19100 | Loss: 0.7377 Acc: 79.26%
Step 19200 | Loss: 0.7430 Acc: 79.67%
Step 19300 | Loss: 0.7293 Acc: 79.82%
Step 19400 | Loss: 0.7229 Acc: 80.39%
Step 19500 | Loss: 0.7386 Acc: 79.38%
Step 19600 | Loss: 0.7302 Acc: 79.66%
Step 19700 | Loss: 0.7182 Acc: 80.55%
Step 19800 | Loss: 0.7258 Acc: 79.52%
Step 19900 | Loss: 0.7244 Acc: 79.92%

============================================================
Step 20000: Entering Phase 2: Medium-Hard+ (2.0+)
Training pool: 892000 puzzles
============================================================

Step 20000 | Loss: 0.6929 Acc: 82.03% | 0.0: 472/500 | 1.x: 394/500 | 2.x: 330/500 | 3.x: 281/500 | 4.x+: 241/500 | Total: 1718/2500
Step 20100 | Loss: 0.6717 Acc: 83.21%
Step 20200 | Loss: 0.7004 Acc: 81.98%
Step 20300 | Loss: 0.6826 Acc: 82.16%
Step 20400 | Loss: 0.6701 Acc: 83.60%
